"#","From","To (Interval: 24H)","Jabalpur, Govindh Bhavan Colony  PM10 (µg/m3)","Jabalpur, Govindh Bhavan Colony  PM2.5 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NO (µg/m3)","Jabalpur, Govindh Bhavan Colony  NO2 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NOX (ppb)","Jabalpur, Govindh Bhavan Colony  CO (mg/m3)","Jabalpur, Govindh Bhavan Colony  SO2 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NH3 (µg/m3)","Jabalpur, Govindh Bhavan Colony  Ozone (µg/m3)","Jabalpur, Govindh Bhavan Colony  Benzene (µg/m3)"
"1","2025-01-01 00:00:00","2025-01-02 00:00:00","53.50","26.34","6.96","21.15","16.91","0.87","9.09","17.05","28.37","2.17"
"2","2025-01-02 00:00:00","2025-01-03 00:00:00","51.75","18.31","8.60","19.66","17.38","0.85","8.06","19.59","32.43","2.24"
"3","2025-01-03 00:00:00","2025-01-04 00:00:00","35.56","17.94","11.25","14.91","17.09","0.74","12.79","24.12","37.40","1.16"
"4","2025-01-04 00:00:00","2025-01-05 00:00:00","44.41","23.06","11.75","16.42","18.29","0.77","14.75","24.92","38.31","1.79"
"5","2025-01-05 00:00:00","2025-01-06 00:00:00","43.86","22.57","10.82","16.94","17.81","0.71","11.24","23.40","30.90","1.29"
"6","2025-01-06 00:00:00","2025-01-07 00:00:00","71.57","36.80","10.98","19.17","19.12","0.88","10.09","23.66","51.46","1.96"
"7","2025-01-07 00:00:00","2025-01-08 00:00:00","104.10","54.98","10.74","16.20","17.35","1.00","8.73","23.26","37.54","2.37"
"8","2025-01-08 00:00:00","2025-01-09 00:00:00","73.89","39.51","11.03","18.37","18.75","0.89","6.36","23.76","41.42","2.34"
"9","2025-01-09 00:00:00","2025-01-10 00:00:00","45.30","23.11","10.55","21.04","19.76","0.70","10.55","22.95","41.60","1.29"
"10","2025-01-10 00:00:00","2025-01-11 00:00:00","46.33","23.40","11.15","17.94","18.13","0.63","21.56","23.75","56.99","1.18"
"11","2025-01-11 00:00:00","2025-01-12 00:00:00","59.19","31.33","10.80","16.26","17.43","0.73","13.74","23.37","62.52","1.12"
"12","2025-01-12 00:00:00","2025-01-13 00:00:00","111.49","63.46","10.45","19.53","18.88","1.07","9.53","22.79","56.14","2.20"
"13","2025-01-13 00:00:00","2025-01-14 00:00:00","116.19","66.75","10.32","15.81","16.80","0.81","9.43","22.57","24.87","1.71"
"14","2025-01-14 00:00:00","2025-01-15 00:00:00","83.02","46.70","10.88","14.62","16.62","0.74","9.11","23.50","24.82","1.69"
"15","2025-01-15 00:00:00","2025-01-16 00:00:00","71.15","39.96","10.74","15.05","16.73","0.71","10.61","23.26","24.79","1.28"
"16","2025-01-16 00:00:00","2025-01-17 00:00:00","86.98","46.95","10.98","16.27","17.59","0.80","11.57","23.66","25.01","1.45"
"17","2025-01-17 00:00:00","2025-01-18 00:00:00","132.54","75.64","11.17","18.15","18.74","0.92","10.32","23.98","25.16","1.83"
"18","2025-01-18 00:00:00","2025-01-19 00:00:00","73.49","38.24","10.45","16.05","17.03","0.78","9.63","22.78","25.04","1.67"
"19","2025-01-19 00:00:00","2025-01-20 00:00:00","39.16","19.91","10.82","14.34","16.43","0.59","9.97","23.40","24.78","1.00"
"20","2025-01-20 00:00:00","2025-01-21 00:00:00","45.18","24.12","10.74","15.21","16.83","0.65","9.79","23.26","24.68","0.96"
"21","2025-01-21 00:00:00","2025-01-22 00:00:00","56.14","31.64","10.24","14.67","15.78","0.59","7.81","22.21","24.81","1.01"
"22","2025-01-22 00:00:00","2025-01-23 00:00:00","58.98","31.48","10.69","13.53","15.89","0.39","5.38","23.19","24.87","0.97"
"23","2025-01-23 00:00:00","2025-01-24 00:00:00","62.81","32.40","10.28","14.03","15.82","0.56","12.16","22.51","24.77","1.10"
"24","2025-01-24 00:00:00","2025-01-25 00:00:00","83.57","46.49","10.41","17.75","17.91","0.64","7.14","22.73","25.09","1.34"
"25","2025-01-25 00:00:00","2025-01-26 00:00:00","43.48","21.46","10.30","11.35","14.41","0.28","6.67","22.55","24.81","0.98"
"26","2025-01-26 00:00:00","2025-01-27 00:00:00","34.11","15.82","10.20","11.92","14.63","0.32","5.45","22.37","24.76","0.83"
"27","2025-01-27 00:00:00","2025-01-28 00:00:00","28.14","12.90","10.29","11.43","14.45","0.28","5.12","22.53","24.66","0.76"
"28","2025-01-28 00:00:00","2025-01-29 00:00:00","35.11","15.79","10.37","12.26","14.96","0.36","5.15","22.66","24.71","0.91"
"29","2025-01-29 00:00:00","2025-01-30 00:00:00","47.53","22.83","10.74","12.11","15.19","0.46","5.11","23.27","24.78","1.04"
"30","2025-01-30 00:00:00","2025-01-31 00:00:00","64.33","32.36","10.68","11.91","15.02","0.49","5.47","23.16","24.83","1.17"
"31","2025-01-31 00:00:00","2025-02-01 00:00:00","48.82","22.96","10.87","10.12","14.22","0.48","5.09","23.47","24.72","1.21"
"32","2025-02-01 00:00:00","2025-02-02 00:00:00","45.97","20.67","10.43","9.36","13.46","0.48","5.87","22.74","24.62","1.14"
"33","2025-02-02 00:00:00","2025-02-03 00:00:00","52.58","27.14","10.41","10.23","13.90","0.58","5.76","22.72","24.66","1.29"
"34","2025-02-03 00:00:00","2025-02-04 00:00:00","58.15","29.54","10.71","8.86","13.42","0.83","8.59","23.02","24.61","1.57"
"35","2025-02-04 00:00:00","2025-02-05 00:00:00","56.89","27.64","10.58","10.02","13.84","0.54","6.83","22.81","24.71","1.09"
"36","2025-02-05 00:00:00","2025-02-06 00:00:00","76.43","38.03","15.38","18.74","22.12","0.81","7.04","28.67","25.11","1.51"
"37","2025-02-06 00:00:00","2025-02-07 00:00:00","58.71","27.61","11.27","18.25","18.87","0.43","5.45","12.42","24.59","0.94"
"38","2025-02-07 00:00:00","2025-02-08 00:00:00","40.70","17.48","11.28","18.19","18.84","0.38","5.65","12.36","24.61","0.84"
"39","2025-02-08 00:00:00","2025-02-09 00:00:00","38.71","17.61","11.28","18.13","18.82","0.39","5.81","12.81","23.96","0.77"
"40","2025-02-09 00:00:00","2025-02-10 00:00:00","35.32","11.75","11.30","18.25","18.89","0.54","13.76","13.03","23.67","0.73"
"41","2025-02-10 00:00:00","2025-02-11 00:00:00","51.41","22.56","11.30","18.22","18.88","0.49","13.10","13.64","24.68","1.10"
"42","2025-02-11 00:00:00","2025-02-12 00:00:00","55.19","25.11","11.28","18.17","18.84","0.45","5.39","14.08","24.71","0.93"
"43","2025-02-12 00:00:00","2025-02-13 00:00:00","46.49","19.31","11.29","18.38","18.96","0.47","5.94","13.96","24.89","1.03"
"44","2025-02-13 00:00:00","2025-02-14 00:00:00","42.20","16.74","11.27","18.23","18.86","0.36","5.22","12.18","24.62","0.81"
"45","2025-02-14 00:00:00","2025-02-15 00:00:00","51.28","19.01","11.30","18.51","19.04","0.53","6.53","13.54","25.04","1.16"
"46","2025-02-15 00:00:00","2025-02-16 00:00:00","44.34","17.13","11.26","18.46","18.98","0.40","5.85","15.03","24.94","0.98"
"47","2025-02-16 00:00:00","2025-02-17 00:00:00","47.17","18.91","11.28","18.35","18.93","0.46","6.22","12.24","24.92","1.13"
"48","2025-02-17 00:00:00","2025-02-18 00:00:00","49.65","19.24","11.26","18.37","18.92","0.46","5.86","12.04","24.97","1.00"
"49","2025-02-18 00:00:00","2025-02-19 00:00:00","47.92","19.11","11.33","18.47","19.03","0.57","7.47","15.45","25.38","1.02"
"50","2025-02-19 00:00:00","2025-02-20 00:00:00","46.02","18.91","11.22","18.45","18.93","0.40","5.52","13.36","24.93","0.84"
"51","2025-02-20 00:00:00","2025-02-21 00:00:00","62.88","27.10","11.29","18.64","19.09","0.53","6.54","14.66","25.46","0.97"
"52","2025-02-21 00:00:00","2025-02-22 00:00:00","51.02","20.32","11.31","18.50","19.03","0.45","17.08","15.79","25.31","1.18"
"53","2025-02-22 00:00:00","2025-02-23 00:00:00","51.92","20.06","11.27","18.46","18.98","0.42","5.93","12.23","25.22","1.09"
"54","2025-02-23 00:00:00","2025-02-24 00:00:00","34.07","13.27","11.27","18.28","18.89","0.33","5.76","12.11","25.01","0.69"
"55","2025-02-24 00:00:00","2025-02-25 00:00:00","35.25","12.96","11.26","18.24","18.86","0.31","5.84","12.77","25.11","0.59"
"56","2025-02-25 00:00:00","2025-02-26 00:00:00","32.08","11.64","11.27","18.20","18.84","0.33","5.97","12.42","25.09","0.56"
"57","2025-02-26 00:00:00","2025-02-27 00:00:00","38.69","15.78","11.27","18.36","18.93","0.41","5.87","12.35","25.34","0.80"
"58","2025-02-27 00:00:00","2025-02-28 00:00:00","36.55","13.73","11.24","18.28","18.86","0.37","5.53","11.36","25.25","0.86"
"59","2025-02-28 00:00:00","2025-03-01 00:00:00","47.72","17.75","11.29","18.46","19.00","0.42","7.47","12.80","25.58","1.00"
"60","2025-03-01 00:00:00","2025-03-02 00:00:00","61.74","26.09","11.28","18.50","19.02","0.56","10.83","12.60","25.46","1.23"
"61","2025-03-02 00:00:00","2025-03-03 00:00:00","52.28","21.17","11.25","18.43","18.95","0.45","10.09","11.33","25.37","0.91"
"62","2025-03-03 00:00:00","2025-03-04 00:00:00","50.30","20.90","11.25","18.29","18.87","0.44","7.75","11.53","25.33","0.90"
"63","2025-03-04 00:00:00","2025-03-05 00:00:00","60.80","19.35","9.83","22.56","19.55","0.36","6.35","13.10","49.51","0.76"
"64","2025-03-05 00:00:00","2025-03-06 00:00:00","46.03","11.66","8.70","32.82","24.54","0.21","12.20","12.53","54.47","0.55"
"65","2025-03-06 00:00:00","2025-03-07 00:00:00","39.00","12.93","8.97","36.59","26.75","0.28","14.35","12.50","48.16","1.03"
"66","2025-03-07 00:00:00","2025-03-08 00:00:00","36.83","12.68","9.18","35.76","25.89","0.27","13.29","12.49","51.50","0.75"
"67","2025-03-08 00:00:00","2025-03-09 00:00:00","45.57","17.17","9.00","35.95","26.35","0.45","22.05","12.14","53.51","1.09"
"68","2025-03-09 00:00:00","2025-03-10 00:00:00","55.54","9.45","14.30","39.36","30.11","0.26","75.01","11.68","52.68","0.87"
"69","2025-03-10 00:00:00","2025-03-11 00:00:00","33.50","9.98","8.04","34.31","23.62","0.20","46.99","11.60","60.70","0.45"
"70","2025-03-11 00:00:00","2025-03-12 00:00:00","41.29","13.66","8.10","32.63","23.95","0.30","17.59","11.69","59.56","0.82"
"71","2025-03-12 00:00:00","2025-03-13 00:00:00","56.05","16.07","8.00","33.77","24.46","0.38","17.86","11.52","58.91","0.87"
"72","2025-03-13 00:00:00","2025-03-14 00:00:00","57.16","19.52","9.12","37.75","26.95","0.45","14.49","11.34","55.18","1.11"
"73","2025-03-14 00:00:00","2025-03-15 00:00:00","58.55","21.91","8.11","34.46","24.93","0.57","12.13","11.22","50.42","1.22"
"74","2025-03-15 00:00:00","2025-03-16 00:00:00","35.39","12.55","9.86","32.74","24.73","0.33","12.14","11.25","49.66","0.73"
"75","2025-03-16 00:00:00","2025-03-17 00:00:00","41.03","15.81","8.77","32.21","24.18","0.36","13.45","10.93","53.50","0.85"
"76","2025-03-17 00:00:00","2025-03-18 00:00:00","48.60","18.30","9.04","35.83","26.02","0.38","14.26","11.12","52.81","0.99"
"77","2025-03-18 00:00:00","2025-03-19 00:00:00","40.22","14.64","12.16","33.78","27.00","0.33","12.74","10.72","62.06","0.86"
"78","2025-03-19 00:00:00","2025-03-20 00:00:00","40.39","16.46","8.71","34.00","23.85","0.28","16.82","10.84","74.58","0.63"
"79","2025-03-20 00:00:00","2025-03-21 00:00:00","45.07","21.29","8.44","35.99","26.00","0.36","27.54","10.94","67.24","0.73"
"80","2025-03-21 00:00:00","2025-03-22 00:00:00","53.71","25.14","8.51","35.03","25.55","0.40","28.84","11.82","64.26","0.77"
"81","2025-03-22 00:00:00","2025-03-23 00:00:00","37.43","16.53","8.04","31.29","23.18","0.27","17.28","12.38","59.24","0.62"
"82","2025-03-23 00:00:00","2025-03-24 00:00:00","45.91","18.22","8.58","33.11","24.59","0.73","13.91","6.19","62.03","0.92"
"83","2025-03-24 00:00:00","2025-03-25 00:00:00","42.20","15.51","8.03","32.62","23.46","0.47","9.39","5.88","67.03","0.67"
"84","2025-03-25 00:00:00","2025-03-26 00:00:00","47.74","17.47","9.39","34.44","25.20","0.35","8.52","6.19","65.94","0.94"
"85","2025-03-26 00:00:00","2025-03-27 00:00:00","55.11","21.53","8.73","35.59","25.91","0.40","9.18","6.07","58.00","0.96"
"86","2025-03-27 00:00:00","2025-03-28 00:00:00","82.68","31.24","8.46","39.78","28.04","0.54","6.23","5.66","56.89","1.32"
"87","2025-03-28 00:00:00","2025-03-29 00:00:00","90.89","31.17","8.98","37.65","26.83","0.57","37.95","5.47","47.81","1.18"
