"#","From","To (Interval: 24H)","Jabalpur, Gupteshwar  PM10 (µg/m3)","Jabalpur, Gupteshwar  PM2.5 (µg/m3)","Jabalpur, Gupteshwar  NO (µg/m3)","Jabalpur, Gupteshwar  NO2 (µg/m3)","Jabalpur, Gupteshwar  NOX (ppb)","Jabalpur, Gupteshwar  CO (mg/m3)","Jabalpur, Gupteshwar  SO2 (µg/m3)","Jabalpur, Gupteshwar  NH3 (µg/m3)","Jabalpur, Gupteshwar  Ozone (µg/m3)","Jabalpur, Gupteshwar  Benzene (µg/m3)"
"1","2025-01-01 00:00:00","2025-01-02 00:00:00","56.81","32.15","12.53","37.70","30.30","0.89","13.49","11.72","22.99","0.78"
"2","2025-01-02 00:00:00","2025-01-03 00:00:00","50.76","25.73","12.81","42.23","32.87","0.92","14.20","11.34","24.81","0.86"
"3","2025-01-03 00:00:00","2025-01-04 00:00:00","54.20","31.29","14.95","47.74","37.26","0.99","13.81","11.20","26.61","0.91"
"4","2025-01-04 00:00:00","2025-01-05 00:00:00","51.29","25.49","10.15","45.70","32.56","0.78","14.28","11.11","26.40","0.81"
"5","2025-01-05 00:00:00","2025-01-06 00:00:00","66.01","36.10","10.12","43.48","31.35","0.94","14.33","11.41","23.78","0.88"
"6","2025-01-06 00:00:00","2025-01-07 00:00:00","75.33","40.57","7.22","45.37","30.01","1.02","13.92","11.90","31.07","0.93"
"7","2025-01-07 00:00:00","2025-01-08 00:00:00","90.06","48.47","7.69","41.74","28.46","1.06","14.32","11.43","29.19","0.96"
"8","2025-01-08 00:00:00","2025-01-09 00:00:00","80.21","44.22","12.11","46.55","34.61","1.31","14.20","11.08","24.45","1.19"
"9","2025-01-09 00:00:00","2025-01-10 00:00:00","72.24","36.10","6.55","46.02","29.81","0.96","14.12","10.74","31.34","1.07"
"10","2025-01-10 00:00:00","2025-01-11 00:00:00","63.00","32.18","6.61","49.17","31.53","0.92","14.16","10.50","37.62","0.86"
"11","2025-01-11 00:00:00","2025-01-12 00:00:00","74.07","38.14","10.57","57.94","39.41","1.12","14.33","10.40","36.58","0.97"
"12","2025-01-12 00:00:00","2025-01-13 00:00:00","83.38","72.80","3.54","44.31","26.06","0.99","14.04","11.89","39.27","0.89"
"13","2025-01-13 00:00:00","2025-01-14 00:00:00","93.15","59.14","11.25","46.86","34.07","1.16","NA","11.23","41.98","1.06"
"14","2025-01-14 00:00:00","2025-01-15 00:00:00","87.41","54.14","5.82","49.42","31.01","1.15","13.55","11.44","24.80","0.98"
"15","2025-01-15 00:00:00","2025-01-16 00:00:00","76.94","44.34","4.83","42.57","26.37","0.96","12.69","11.07","28.82","1.05"
"16","2025-01-16 00:00:00","2025-01-17 00:00:00","88.43","49.92","4.93","42.74","26.74","1.05","13.44","12.11","35.30","0.91"
"17","2025-01-17 00:00:00","2025-01-18 00:00:00","104.17","60.14","5.07","40.91","25.88","0.97","13.55","12.14","30.08","0.89"
"18","2025-01-18 00:00:00","2025-01-19 00:00:00","90.35","55.78","19.59","58.31","46.95","1.53","13.30","11.88","30.50","1.01"
"19","2025-01-19 00:00:00","2025-01-20 00:00:00","85.63","35.93","10.79","49.27","35.06","1.06","13.05","11.03","31.64","0.77"
"20","2025-01-20 00:00:00","2025-01-21 00:00:00","63.36","33.41","15.07","52.75","40.40","1.14","13.23","11.51","23.32","0.95"
"21","2025-01-21 00:00:00","2025-01-22 00:00:00","68.57","37.05","14.57","51.67","39.34","1.19","13.33","11.62","29.79","0.95"
"22","2025-01-22 00:00:00","2025-01-23 00:00:00","68.97","38.53","13.26","51.42","38.13","1.06","13.15","11.44","33.69","0.89"
"23","2025-01-23 00:00:00","2025-01-24 00:00:00","68.75","37.51","8.53","50.12","33.59","0.99","13.45","11.35","36.58","0.84"
"24","2025-01-24 00:00:00","2025-01-25 00:00:00","70.86","39.47","2.97","37.66","22.49","0.66","13.41","12.10","52.04","0.76"
"25","2025-01-25 00:00:00","2025-01-26 00:00:00","76.39","31.05","13.79","50.87","38.27","0.98","13.48","18.86","36.74","0.77"
"26","2025-01-26 00:00:00","2025-01-27 00:00:00","56.72","27.98","9.42","47.75","33.05","0.86","13.28","11.00","35.19","0.79"
"27","2025-01-27 00:00:00","2025-01-28 00:00:00","49.97","22.40","13.98","48.72","37.11","1.02","13.36","10.58","35.05","0.81"
"28","2025-01-28 00:00:00","2025-01-29 00:00:00","53.61","26.20","7.87","44.37","30.12","0.89","13.17","10.72","37.22","0.87"
"29","2025-01-29 00:00:00","2025-01-30 00:00:00","55.93","25.06","5.92","42.13","27.22","0.76","13.26","11.09","41.25","0.80"
"30","2025-01-30 00:00:00","2025-01-31 00:00:00","59.95","33.66","3.28","33.36","20.40","0.64","13.34","11.91","50.53","0.80"
"31","2025-01-31 00:00:00","2025-02-01 00:00:00","56.25","25.05","8.44","43.39","29.94","0.80","13.48","11.04","37.61","0.79"
"32","2025-02-01 00:00:00","2025-02-02 00:00:00","59.84","25.84","8.40","47.15","31.99","0.97","13.26","11.22","34.15","0.78"
