"#","From","To (Interval: 24H)","Jabalpur, Marhatal  PM10 (µg/m3)","Jabalpur, Marhatal  PM2.5 (µg/m3)","Jabalpur, Marhatal  NO (µg/m3)","Jabalpur, Marhatal  NO2 (µg/m3)","Jabalpur, Marhatal  NOX (ppb)","Jabalpur, Marhatal  CO (mg/m3)","Jabalpur, Marhatal  SO2 (µg/m3)","Jabalpur, Marhatal  NH3 (µg/m3)","Jabalpur, Marhatal  Ozone (µg/m3)","Jabalpur, Marhatal  Benzene (µg/m3)"
"1","2025-01-01 00:00:00","2025-01-02 00:00:00","90.07","45.34","10.60","80.79","51.39","1.68","14.90","26.44","28.21","NA"
"2","2025-01-02 00:00:00","2025-01-03 00:00:00","126.86","61.73","10.62","101.52","62.17","2.73","15.53","27.04","25.29","NA"
"3","2025-01-03 00:00:00","2025-01-04 00:00:00","146.58","67.48","18.73","102.40","68.71","3.56","16.98","30.66","27.95","NA"
"4","2025-01-04 00:00:00","2025-01-05 00:00:00","109.93","47.07","20.66","96.37","68.05","2.69","15.94","29.47","26.88","NA"
"5","2025-01-05 00:00:00","2025-01-06 00:00:00","105.03","49.32","17.16","83.81","58.53","2.03","15.27","31.11","24.01","NA"
"6","2025-01-06 00:00:00","2025-01-07 00:00:00","101.11","47.40","13.99","84.03","56.08","1.59","14.26","31.11","37.79","NA"
"7","2025-01-07 00:00:00","2025-01-08 00:00:00","138.50","71.07","14.70","74.16","51.40","1.65","15.38","24.31","31.61","NA"
"8","2025-01-08 00:00:00","2025-01-09 00:00:00","136.18","74.89","13.07","79.55","52.94","1.86","14.29","20.98","30.08","NA"
"9","2025-01-09 00:00:00","2025-01-10 00:00:00","103.00","50.13","13.18","81.19","53.73","1.63","15.27","18.33","29.11","NA"
"10","2025-01-10 00:00:00","2025-01-11 00:00:00","120.99","56.91","11.80","86.33","55.51","1.67","10.53","19.83","35.47","NA"
"11","2025-01-11 00:00:00","2025-01-12 00:00:00","152.17","71.68","11.73","98.52","61.77","2.46","7.48","21.87","36.24","NA"
