"#","From","To (Interval: 24H)","Jabalpur, Suhagi  PM10 (µg/m3)","Jabalpur, Suhagi  PM2.5 (µg/m3)","Jabalpur, Suhagi  NO (µg/m3)","Jabalpur, Suhagi  NO2 (µg/m3)","Jabalpur, Suhagi  NOX (ppb)","Jabalpur, Suhagi  CO (mg/m3)","Jabalpur, Suhagi  SO2 (µg/m3)","Jabalpur, Suhagi  NH3 (µg/m3)","Jabalpur, Suhagi  Ozone (µg/m3)","Jabalpur, Suhagi  Benzene (µg/m3)"
"1","2025-01-01 00:00:00","2025-01-02 00:00:00","80.04","32.83","2.65","40.34","30.04","1.68","6.49","8.69","26.21","0.98"
"2","2025-01-02 00:00:00","2025-01-03 00:00:00","109.94","47.74","2.70","40.98","30.54","2.09","7.02","9.12","23.51","1.59"
"3","2025-01-03 00:00:00","2025-01-04 00:00:00","92.06","34.50","2.70","40.67","30.36","1.78","6.07","8.35","26.09","1.20"
"4","2025-01-04 00:00:00","2025-01-05 00:00:00","95.29","38.06","2.61","40.61","30.03","1.66","6.81","8.94","25.74","1.39"
"5","2025-01-05 00:00:00","2025-01-06 00:00:00","95.44","37.74","2.71","41.29","30.69","1.98","5.54","7.82","19.51","1.21"
"6","2025-01-06 00:00:00","2025-01-07 00:00:00","99.99","36.65","2.75","39.14","29.71","1.74","7.90","9.82","33.06","0.96"
"7","2025-01-07 00:00:00","2025-01-08 00:00:00","132.36","48.73","2.87","39.33","30.20","2.18","6.96","9.07","28.08","1.08"
"8","2025-01-08 00:00:00","2025-01-09 00:00:00","106.44","43.50","2.85","39.45","30.23","1.77","5.07","7.55","28.51","1.26"
"9","2025-01-09 00:00:00","2025-01-10 00:00:00","111.13","42.95","2.83","41.15","30.88","1.97","5.33","7.51","20.87","1.45"
"10","2025-01-10 00:00:00","2025-01-11 00:00:00","101.83","35.40","2.96","38.95","30.31","1.61","6.35","8.58","31.25","1.08"
"11","2025-01-11 00:00:00","2025-01-12 00:00:00","123.60","46.80","2.88","38.50","29.79","1.98","9.12","10.78","36.12","1.22"
"12","2025-01-12 00:00:00","2025-01-13 00:00:00","127.42","55.01","2.83","39.15","29.96","1.79","7.57","9.55","34.42","1.10"
"13","2025-01-13 00:00:00","2025-01-14 00:00:00","157.27","66.60","2.89","37.38","29.11","2.40","7.29","9.20","39.96","1.01"
"14","2025-01-14 00:00:00","2025-01-15 00:00:00","121.29","49.65","2.84","41.28","31.14","1.58","7.72","9.67","19.63","1.32"
"15","2025-01-15 00:00:00","2025-01-16 00:00:00","115.96","44.49","2.93","40.15","30.82","1.78","8.33","10.16","22.66","1.02"
"16","2025-01-16 00:00:00","2025-01-17 00:00:00","125.48","45.68","2.91","39.93","30.65","2.15","6.42","8.63","28.08","0.87"
"17","2025-01-17 00:00:00","2025-01-18 00:00:00","156.15","75.18","2.94","39.81","30.68","2.47","5.81","8.15","26.91","0.88"
"18","2025-01-18 00:00:00","2025-01-19 00:00:00","148.29","86.48","2.90","40.54","30.96","2.71","5.74","8.09","23.97","1.26"
"19","2025-01-19 00:00:00","2025-01-20 00:00:00","106.41","62.14","18.25","43.15","42.40","1.94","8.08","9.19","32.75","1.15"
"20","2025-01-20 00:00:00","2025-01-21 00:00:00","109.70","64.00","24.99","40.71","41.98","1.09","8.62","10.04","34.96","1.10"
"21","2025-01-21 00:00:00","2025-01-22 00:00:00","124.65","72.68","30.53","44.50","48.49","0.96","11.12","10.96","40.69","1.29"
"22","2025-01-22 00:00:00","2025-01-23 00:00:00","130.99","76.41","28.95","44.41","47.16","1.19","9.53","10.60","36.04","1.07"
