date,station_name,PM10,PM25,NO_val,NO2,NOX,CO,SO2,NH3,Ozone,Benzene,PM10_AQI,PM25_AQI,NO2 _AQI,CO_AQI,SO2_AQI,NH3_AQI,Ozone_AQI,Worst_pollutant,pollutant_name,Avg_AQI,AQI_Category,AQI_Range,AQI_Range_Sort
1/3/2025,Marhatal,146.58,67.48,18.73,102.4,68.71,3.56,16.98,30.66,27.95,NA,131.05,124.93,122.4,119.5,21.23,7.67,27.95,131.05,PM10,79.25,Moderate,101 – 200,3
1/9/2025,Marhatal,103,50.13,13.18,81.19,53.73,1.63,15.27,18.33,29.11,NA,102,83.55,101.19,81.5,19.09,4.58,29.11,102,PM10,60.15,Moderate,101 – 200,3
1/10/2025,Marhatal,120.99,56.91,11.8,86.33,55.51,1.67,10.53,19.83,35.47,NA,113.99,94.85,106.33,83.5,13.16,4.96,35.47,113.99,PM10,64.61,Moderate,101 – 200,3
1/15/2025,Marhatal,119.86,62.46,4.55,30.29,19.81,0.67,15.26,20.1,31.91,NA,113.24,108.2,37.86,33.5,19.08,5.03,31.91,113.24,PM10,49.83,Moderate,101 – 200,3
1/19/2025,Marhatal,112.19,48.5,23.48,33.97,37.16,2.04,7.1,18.7,46.18,NA,108.13,80.83,42.46,100.5,8.88,4.68,46.18,108.13,PM10,55.95,Moderate,101 – 200,3
1/20/2025,Marhatal,121.18,50.56,38.15,36.57,50.46,2.85,7.25,19.28,53.92,NA,114.12,84.27,45.71,110.63,9.06,4.82,53.92,114.12,PM10,60.36,Moderate,101 – 200,3
1/21/2025,Marhatal,119.16,57.52,17.23,35.7,33,1.93,6.61,20.87,57.55,NA,112.77,95.87,44.63,96.5,8.26,5.22,57.55,112.77,PM10,60.11,Moderate,101 – 200,3
1/22/2025,Marhatal,122.68,55.46,21.72,40.93,39.43,2.21,6.56,20.31,44.96,NA,115.12,92.43,51.16,102.63,8.2,5.08,44.96,115.12,PM10,59.94,Moderate,101 – 200,3
1/23/2025,Marhatal,106.8,47.01,9.4,38.62,28.18,1.66,4.94,21.51,41.07,NA,104.53,78.35,48.28,83,6.18,5.38,41.07,104.53,PM10,52.4,Moderate,101 – 200,3
1/24/2025,Marhatal,98.53,47.74,3.23,23.86,15.32,0.93,4.08,20.3,62.62,NA,98.53,79.57,29.83,46.5,5.1,5.08,62.62,98.53,PM10,46.75,Satisfactory,51 – 100,2
